,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.0807842134403828,47.206587,3.813547
20.0%,0.14188061104482158,54.153016,7.683263
30.0%,0.20040777159650122,60.694762,12.163702
40.0%,0.24337662689719322,65.367222,15.908854
50.0%,0.28555102955610384,70.22881,20.053909
60.0%,0.3131060866957255,76.234762,23.869568
70.0%,0.331048767619907,82.371746,27.269065
80.0%,0.35034402693335237,91.84746,32.178209
90.0%,0.3697261185032266,98.689836,36.48821
100.0%,0.36859278671496526,103.05069,37.983741
