,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.07482802506596116,47.150476,3.528177
20.0%,0.13862106632846197,53.497381,7.415864
30.0%,0.18243047411942984,58.537698,10.67906
40.0%,0.2224842663561166,63.50881,14.129711
50.0%,0.26370818463832985,67.90746,17.907753
60.0%,0.2947042797246172,73.284762,21.597333
70.0%,0.31818452943565906,77.857302,24.772989
80.0%,0.33920267499528883,84.834841,28.776205
90.0%,0.3589788392247456,91.535635,32.859356
100.0%,0.3454704050164922,100.252683,34.634335
