,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.056555446818865616,45.035397,2.546997
20.0%,0.09867543320780928,49.396905,4.874261
30.0%,0.13672887482465207,53.966984,7.378845
40.0%,0.18159448512218532,57.768968,10.490526
50.0%,0.2120187634799487,61.939683,13.132375
60.0%,0.2404443845043625,64.479206,15.503663
70.0%,0.2619749885991375,69.067143,18.093864
80.0%,0.27749501700205487,73.151746,20.299245
90.0%,0.2911145990598046,78.414762,22.827682
100.0%,0.2837550651840822,88.700873,25.169322
