,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.07488963875778018,47.036667,3.522559
20.0%,0.14326681619656886,53.570556,7.674883
30.0%,0.19479750139002225,59.036825,11.500226
40.0%,0.23426818279919756,64.154286,15.029308
50.0%,0.2672111328569039,69.206746,18.492813
60.0%,0.3094933863446881,73.51381,22.752038
70.0%,0.3367980979292978,80.107222,26.97996
80.0%,0.3449055651520116,86.182857,29.724947
90.0%,0.37257335680751175,90.9936,33.901791
100.0%,0.36709188748048505,103.642857,38.046452
