,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.05894862791910722,45.361429,2.673994
20.0%,0.11443340828820285,51.041825,5.84089
30.0%,0.14406707797116863,54.740952,7.886369
40.0%,0.185816594954182,59.711825,11.095448
50.0%,0.2255204695699904,63.305238,14.276627
60.0%,0.2419939225513649,66.69246,16.13917
70.0%,0.2703284709503,73.492222,19.86704
80.0%,0.2819551807867426,77.424206,21.830156
90.0%,0.2980610154543298,83.216032,24.803455
100.0%,0.29610989567692975,88.010159,26.060679
