,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.02386015650099028,40.147222,0.957919
20.0%,0.034973578515285625,41.191667,1.44062
30.0%,0.05565104168304263,42.936429,2.389457
40.0%,0.07703393848211867,44.894524,3.458402
50.0%,0.08605966095235894,45.869365,3.947502
60.0%,0.10298447745603148,47.71254,4.913651
70.0%,0.11703039322336484,50.305556,5.887279
80.0%,0.13138933664357608,52.232222,6.862757
90.0%,0.13261188099802343,55.365635,7.342141
100.0%,0.12631339252324011,65.451587,8.267412
