,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.03892541697946161,42.633095,1.659511
20.0%,0.07630533394227706,47.279683,3.607692
30.0%,0.10563655325104775,49.408333,5.219326
40.0%,0.14138735697976595,53.574762,7.574794
50.0%,0.1692328190645024,55.921984,9.463835
60.0%,0.19107514294241015,59.550556,11.378631
70.0%,0.2152285140507173,62.126508,13.371396
80.0%,0.23863576921457486,66.642302,15.903237
90.0%,0.23923387303793867,69.398889,16.602565
100.0%,0.24544772673847873,80.623016,19.788736
