,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.0621586243721605,44.607937,2.772768
20.0%,0.11708227764509731,49.51746,5.797617
30.0%,0.15642201118562643,52.704603,8.24416
40.0%,0.1902441346387161,56.217381,10.695027
50.0%,0.22688813050676973,60.457063,13.71699
60.0%,0.25083066215251637,64.163571,16.094191
70.0%,0.2702959497234108,66.865952,18.073596
80.0%,0.293046808229188,75.324127,22.073495
90.0%,0.2965842685849251,80.715714,23.939011
100.0%,0.2895376384819165,91.355159,26.450757
