,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.07058579312155228,46.24619,3.264324
20.0%,0.12707146239467132,52.07746,6.617559
30.0%,0.16753884459126547,57.360238,9.610068
40.0%,0.2118285285672539,61.920635,13.116557
50.0%,0.24536956312895528,64.371032,15.794692
60.0%,0.26566248849325985,69.059524,18.346525
70.0%,0.2986102861856283,74.602698,22.277133
80.0%,0.32127518486791645,81.565397,26.204938
90.0%,0.33125281079359215,88.426984,29.291687
100.0%,0.3309472038439783,96.676508,31.99482
