,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.04036851763900423,42.083413,1.698845
20.0%,0.07435357067423905,45.806825,3.405901
30.0%,0.10516904728612768,48.445794,5.094998
40.0%,0.12745153217653657,51.188651,6.524072
50.0%,0.15381008175910685,52.412143,8.061516
60.0%,0.17756187275595384,55.90627,9.926822
70.0%,0.19412116327697038,57.769286,11.214241
80.0%,0.20870444153882334,61.923651,12.923741
90.0%,0.22354601677599467,65.319048,14.601813
100.0%,0.21403499010210336,75.66254,16.194431
