,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.08715156518470704,47.364921,4.127927
20.0%,0.1528466421226426,53.808889,8.224508
30.0%,0.20679834828130192,59.16746,12.235733
40.0%,0.24701474449122757,63.094683,15.585317
50.0%,0.28816039782966335,69.328968,19.977863
60.0%,0.31774641029919176,73.677937,23.4109
70.0%,0.3257562977102265,80.028571,26.069811
80.0%,0.34759436330942084,93.203413,32.396981
90.0%,0.35702175657195373,100.376429,35.836569
100.0%,0.36229632691071695,110.712773,40.110831
