,Efficiency(Ws),Power(W),Throughput(1/s)
10.0%,0.02390008016839345,40.428651,0.966248
20.0%,0.04395504864131599,42.186667,1.854317
30.0%,0.06184056758252271,43.998254,2.720877
40.0%,0.08246284009529402,45.95881,3.789894
50.0%,0.10042963744440633,47.882698,4.808842
60.0%,0.11086933510523875,49.531613,5.491537
70.0%,0.12602252017619325,52.441508,6.608811
80.0%,0.13825315006605304,56.756667,7.846788
90.0%,0.14109221611223485,59.288175,8.3651
100.0%,0.14257774643705462,67.36,9.604037
